鄉鎮市區,中山區,中山區,中山區,中正區,中正區,中正區,信義區,信義區,信義區,內湖區,內湖區,內湖區,北投區,北投區,北投區,南港區,南港區,南港區,士林區,士林區,士林區,大同區,大同區,大同區,大安區,大安區,大安區,文山區,文山區,文山區,松山區,松山區,松山區,萬華區,萬華區,萬華區
交易類別,一般不動產買賣,不動產租賃,預售屋買賣,一般不動產買賣,不動產租賃,預售屋買賣,一般不動產買賣,不動產租賃,預售屋買賣,一般不動產買賣,不動產租賃,預售屋買賣,一般不動產買賣,不動產租賃,預售屋買賣,一般不動產買賣,不動產租賃,預售屋買賣,一般不動產買賣,不動產租賃,預售屋買賣,一般不動產買賣,不動產租賃,預售屋買賣,一般不動產買賣,不動產租賃,預售屋買賣,一般不動產買賣,不動產租賃,預售屋買賣,一般不動產買賣,不動產租賃,預售屋買賣,一般不動產買賣,不動產租賃,預售屋買賣
交易年度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,399688.788,0.0,0.0,0.0,0.0,0.0,726853.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,859857.3010120481,1371.99,780073.8420000001,878713.793125,0.0,0.0,754146.439764706,760.38,0.0,606002.0256534654,872.784,0.0,629934.7539333333,1286.034,0.0,796544.0228470588,0.0,638203.464,729592.7478461538,1636.47,0.0,701800.5137142857,1644.7350000000001,0.0,1054783.5977999999,2763.8160000000003,0.0,458429.529147982,0.0,614258.3815,854405.946,1352.154,0.0,449845.4364,0.0,0.0
2012,645644.632368164,1540.2801401273887,850248.3525416667,798336.1237607973,1647.6809405940594,925125.4077662338,721095.1495388693,1696.045469387755,638506.7143636363,514550.9626914711,1120.0386904761904,647110.9729350649,423655.3873379791,1180.799191011236,449715.52863272734,531715.0230998767,962.9159999999999,922368.4660434783,522788.2373558749,1354.8027831325303,873847.9065405406,554826.5041658537,1444.2538938053099,0.0,775003.1792798691,1831.1019574468085,1194874.8282857141,418960.35386252776,980.7972187500001,595729.3284545455,628284.0656396867,1675.8262584269662,1565930.2453333335,449381.06761837454,1494.44975,511345.71676923084
2013,677430.3080762195,1619.3456629213483,948901.8874520548,775279.6072058824,1724.8318931297708,1005890.9233636365,721109.4710798161,1686.43208538163,883708.2715471698,537164.1069313186,1156.5718525345624,850587.78048,462984.62226965604,1207.0954528301886,642898.7164061539,517229.82618679956,920.7300327868853,997569.8324347828,525959.3311235029,1498.2345952380954,895387.2542399999,535515.3729098532,1582.8381483870967,857425.2552676057,878241.0005865103,2024.9766073793758,1494652.953,451042.17693289986,1064.167779661017,605379.415975,673989.6544930278,1554.1830867052024,1702143.69,443535.9559651273,1939.8632459016394,647768.6665714285
2014,717479.1733393295,1574.1391691934507,1208631.4985909092,875314.3962350158,1659.0177569620253,1032702.5833636364,758644.5162728733,1733.5075402597404,832163.9468372093,575492.2903568977,1140.858733624454,863928.6586,465853.51062696625,1218.4066010362696,784809.3350709678,573140.7520076162,920.5566666666666,746279.91,547960.0712826527,1519.3805598591548,768622.7885777778,615929.2965617566,1639.3153278688526,706413.9580000001,906482.2147021812,2032.915014953271,1312290.376754717,477249.5475867019,1023.5490000000001,687131.486117647,781840.8594254144,1547.1676829268292,0.0,479523.66890721646,1776.1559459459459,780285.4489583333
2015,752202.864099654,1621.5890168674698,1175356.4551875,702283.2422727272,1663.6747951807229,1162488.6060000001,741666.2649034092,1692.6098738255034,840649.68,554250.6618037267,1168.0613049267643,799747.0215,525565.4029922163,1180.6928181818182,682214.2938214286,522177.581461126,1020.5711351351351,0.0,558898.5779131833,1540.3473888,1139364.963,596951.8170584192,1598.5579104477613,0.0,894393.273234445,2148.5290829268292,1214723.7744705882,605632.9896862746,1121.7154687500001,728572.974,730076.6485726808,1549.7535660685155,817501.5402857143,509179.7280043447,1735.7887132867133,651103.0037142857
2016,680890.5907350994,1610.9828477886272,1157965.6358918918,801791.104432653,1649.8979872340426,1005197.430972973,684327.8808538206,1707.810903896104,910208.33325,535022.4700713209,1203.210424908425,720123.7437534246,433608.22820443485,1109.8350140186915,666657.6812380953,563008.0100906736,986.89265625,0.0,529169.1697350721,1553.4124807395995,1122168.804,608515.3608677685,1526.3818366336634,0.0,859384.2235237448,1866.2134081826832,1528286.9355000001,471346.2809672226,1082.3794285714287,636484.344,716335.8478212997,1561.0455936,808293.9613125001,586508.5142378699,1559.619049180328,513029.37779999996
2017,689136.1755918796,1634.0427103694874,1006593.799,841341.2382,1563.448,1000343.94375,679044.52659631,1629.9713485714285,2149530.6195,527498.8095279165,1210.2050444964873,657353.9979600001,417218.74289532873,1139.519495327103,688823.1452500001,528618.1639215685,1030.254956043956,0.0,539383.859299188,1346.8187665198238,0.0,620355.9153188572,1528.6257426636569,688197.898,768349.1213484849,1914.1575685884693,1261665.8220000002,491028.43707458145,1003.6307571428572,629744.3219999999,695819.1700322581,1539.960857142857,1093883.1730833333,509666.25829213485,1505.6189112426036,583738.6568
